                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4964,                 0.5413,                      1,                 1.4221,             0.00023593,             0.00023593,             0.00023593
                      2,                 1.0406,                0.67391,                      1,                 1.2831,             0.00042701,             0.00042701,             0.00042701
                      3,                0.87571,                    0.7,                      1,                 1.2296,             0.00057097,             0.00057097,             0.00057097
                      4,                0.76965,                0.70652,                      1,                 1.2173,             0.00050194,             0.00050194,             0.00050194
                      5,                 0.7035,                0.72826,                      1,                 1.2069,             0.00050194,             0.00050194,             0.00050194
                      6,                0.66974,                0.72826,                      1,                 1.1931,             0.00043126,             0.00043126,             0.00043126
                      7,                0.66416,                0.73261,                      1,                 1.1902,             0.00036057,             0.00036057,             0.00036057
                      8,                0.58273,                0.73261,                      1,                 1.1742,             0.00028988,             0.00028988,             0.00028988
                      9,                 0.5872,                0.75652,                      1,                 1.1639,              0.0002192,              0.0002192,              0.0002192
                     10,                0.56701,                0.75217,                      1,                 1.1698,             0.00014851,             0.00014851,             0.00014851
